i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
42,C,D,B,D,A,A,C,B,C,A,B,D,C,D,C,A,D,C,B,A
43,C,D,C,B,B,A,D,B,D,A,D,D,C,B,D,B,B,A,A,B
44,B,B,A,B,B,A,D,B,C,C,D,B,C,C,D,A,D,C,D,C
45,D,B,D,C,C,A,D,D,B,A,C,A,C,C,A,B,C,C,A,A
46,D,A,D,A,A,A,D,B,D,B,B,B,A,B,B,C,C,B,B,A
47,D,C,A,D,D,A,D,B,D,A,B,D,C,C,B,A,D,A,B,B
48,D,C,A,D,B,A,D,B,D,A,A,D,C,C,B,B,D,A,C,B
49,D,C,D,A,B,A,D,B,D,D,A,D,C,D,B,C,D,A,A,B
50,A,B,A,B,A,A,D,B,A,C,C,B,C,D,B,D,C,A,D,A
51,B,B,A,B,C,A,D,A,B,A,C,D,C,C,C,B,B,A,D,D
52,D,C,C,D,D,A,D,B,D,A,C,D,C,D,D,A,B,B,A,C
53,D,C,D,D,D,A,D,C,B,A,A,D,C,D,B,D,D,C,B,A
54,A,B,A,D,C,A,B,B,C,C,C,B,D,A,A,A,B,B,C,D
55,B,C,A,C,A,A,D,A,B,C,D,A,C,B,C,B,C,C,B,C
56,C,A,B,D,C,A,D,A,A,D,C,B,A,A,B,B,B,A,C,D
57,A,D,A,B,C,B,D,B,B,C,B,A,C,C,A,A,A,C,C,D
58,B,A,A,B,D,A,D,C,D,A,A,D,C,C,D,A,D,A,A,B
59,D,C,A,B,C,A,D,D,A,A,D,A,C,B,C,B,A,A,A,C
60,A,B,D,C,C,A,D,A,D,A,D,D,C,C,A,B,C,B,B,D
61,D,C,A,D,D,A,D,B,C,A,A,D,A,C,B,C,D,A,D,B
62,B,A,A,C,C,C,D,B,B,C,A,A,A,D,B,B,D,D,D,C
63,D,C,A,B,B,A,D,A,B,B,A,D,C,C,A,C,D,B,A,B
64,D,C,A,B,C,A,D,B,A,A,A,D,C,C,B,C,C,A,D,B
65,C,B,A,C,C,A,B,A,A,D,B,A,C,A,A,A,A,B,C,B
66,C,C,D,A,D,C,B,B,A,B,C,D,C,B,C,C,D,A,A,A
67,B,A,B,A,B,A,A,A,C,C,C,B,D,D,B,B,B,B,A,A
68,D,C,A,D,D,A,D,B,D,A,A,D,C,C,B,B,D,B,A,B
69,D,C,A,D,D,A,D,B,D,A,A,D,C,C,B,C,D,A,A,B
70,D,C,A,D,D,A,D,B,D,A,A,D,C,C,B,B,D,A,A,B
71,A,C,B,A,D,A,A,B,B,B,A,D,C,B,B,A,D,D,A,D
72,A,C,A,B,C,B,D,B,C,D,A,D,C,C,A,D,D,D,B,A
73,D,A,A,A,A,A,D,B,B,B,A,A,A,C,B,C,D,D,A,B
74,A,C,C,D,B,A,C,D,A,A,A,A,C,C,B,A,D,C,B,B
75,D,C,A,D,D,A,D,A,A,D,D,D,C,C,C,D,A,A,A,B
76,D,C,D,B,D,A,C,A,C,A,A,D,C,C,D,D,C,C,B,D
77,D,C,A,D,A,A,D,B,A,B,A,D,D,C,B,B,D,D,D,C
78,B,C,A,B,C,A,D,B,A,D,A,D,C,C,A,C,B,B,A,B
79,D,C,B,D,B,A,D,C,D,A,B,D,C,C,B,C,D,D,A,B
80,D,C,A,D,D,A,D,B,D,A,C,D,C,C,D,A,D,A,B,D
81,D,C,A,B,D,A,D,B,D,B,A,D,C,C,B,D,A,B,A,D
82,C,C,A,C,D,A,D,B,D,B,A,D,A,C,D,C,C,D,A,B
83,B,C,A,D,C,B,B,D,B,A,B,A,D,C,D,C,A,D,D,B
84,C,A,D,A,A,A,B,C,A,C,B,C,C,D,B,B,C,C,D,B
85,B,B,A,C,A,A,D,B,C,C,D,A,B,A,C,D,D,B,C,A
86,D,C,A,D,D,A,D,B,D,A,A,D,C,C,B,D,D,A,A,C
87,C,C,A,B,C,A,D,B,D,D,A,D,A,C,D,A,C,C,B,B
88,A,C,B,D,D,A,D,B,A,A,A,D,C,C,D,C,A,B,A,D
89,D,C,A,D,D,A,D,B,D,A,A,D,C,C,B,A,D,A,A,B
90,D,C,A,D,D,A,D,B,B,D,A,D,A,C,C,C,D,A,C,B
91,D,B,A,B,D,A,A,C,C,D,C,C,B,D,C,C,B,B,D,B
92,D,A,D,B,A,A,A,C,B,A,C,A,C,D,B,C,B,C,D,D
93,B,D,A,B,B,A,C,D,C,B,B,D,D,A,B,A,B,D,C,C
94,D,A,B,B,C,A,D,B,C,A,A,D,C,C,B,C,D,C,D,B
95,A,A,B,B,D,A,A,D,B,A,B,D,C,C,D,B,B,A,B,D
96,D,C,A,D,D,A,D,B,B,C,B,D,A,A,C,B,D,A,D,B
97,D,C,C,D,D,A,D,B,C,A,A,D,C,C,B,B,D,D,B,B
98,D,C,A,D,B,A,D,B,A,A,A,D,C,C,B,B,D,A,A,B
99,B,B,A,C,D,A,D,B,C,A,D,B,C,C,D,C,D,C,B,D
100,D,A,A,D,D,A,D,B,B,A,A,D,B,C,C,C,D,A,A,B
